Date,Open,High,Low,Close,Volume,Size
1990/12/20,104.3,104.39,99.98,104.39,19700,84992
1990/12/21,109.07,109.13,103.73,109.13,2800,16096
1990/12/24,113.57,114.55,109.13,114.55,3200,31063
1990/12/25,120.09,120.25,114.55,120.25,1500,6510
1990/12/26,125.27,125.27,120.25,125.27,10000,53730
1990/12/27,125.27,125.28,125.27,125.28,6600,104644
1990/12/28,126.39,126.45,125.28,126.45,10800,88031
1990/12/31,126.56,127.61,126.48,127.61,7800,60030
1991/1/2,127.61,128.84,127.61,128.84,9100,59098
1991/1/3,128.84,130.14,128.84,130.14,14100,93918
1991/1/4,131.27,131.44,130.14,131.44,42000,261904
1991/1/7,131.99,132.06,131.45,132.06,21700,141737
1991/1/8,132.62,132.68,132.06,132.68,292600,1806867
1991/1/9,133.3,133.34,132.68,133.34,560300,3228719
1991/1/10,133.93,133.97,133.34,133.97,999000,5399457
1991/1/11,134.61,134.61,134.51,134.6,1332700,7115732
1991/1/14,134.11,135.19,134.11,134.67,1253000,6883604
1991/1/15,134.21,134.74,134.19,134.74,144600,1010364
1991/1/16,134.19,134.74,134.14,134.24,50900,270133
1991/1/17,133.67,134.25,133.65,134.25,65800,334238
1991/1/18,133.7,134.25,133.67,134.24,300400,1570833
1991/1/21,133.7,134.24,133.66,134.24,205100,1029305
1991/1/22,133.72,134.24,133.66,133.72,35400,180787
1991/1/23,133.17,133.72,133.14,133.17,109500,575928
1991/1/24,132.61,133.17,132.57,132.61,185700,917392
1991/1/25,132.05,132.07,132.03,132.05,344700,1722246
1991/1/28,131.46,131.55,131.46,131.46,510700,2565573
1991/1/29,130.95,130.97,130.95,130.95,138700,710741
1991/1/30,130.44,130.95,130.41,130.44,52700,260701
1991/1/31,129.93,130.46,129.93,129.97,51000,244662
1991/2/1,129.5,129.97,129.45,129.51,34500,140871
1991/2/4,129.05,129.58,129.05,129.05,55300,273652
1991/2/5,128.56,128.58,128.53,128.58,856200,4250084
1991/2/6,129.13,129.15,128.06,129.14,664100,3847268
1991/2/7,129.74,129.79,129.14,129.79,213300,1504814
1991/2/8,130.36,130.39,129.79,130.38,123400,879868
1991/2/11,130.92,130.97,130.39,130.97,931700,4834876
1991/2/12,131.54,131.56,130.97,131.35,377400,1986983
1991/2/13,131.93,131.93,131.35,131.92,115200,673738
1991/2/14,132.53,132.53,132.3,132.53,362400,1883072
1991/2/19,133.12,133.14,133.08,133.13,174800,1216176
1991/2/20,133.63,133.67,133.13,133.67,87600,520724
1991/2/21,134.24,134.28,133.67,134.28,322000,1771726
1991/2/22,134.85,134.87,134.28,134.87,342700,2003776
1991/2/25,134.37,134.87,134.33,134.4,81000,621015
1991/2/26,133.9,134.44,133.9,133.93,109400,2545711
1991/2/27,133.44,133.98,133.44,133.47,21400,141958
1991/2/28,132.99,133.52,132.98,133.01,225800,1187974
1991/3/1,132.53,132.53,132.47,132.53,712400,3777320
1991/3/4,132.09,132.09,131.98,131.99,251800,1418017
1991/3/5,131.42,131.99,131.41,131.46,98200,934706
1991/3/6,130.89,130.95,130.89,130.94,71900,1345390
1991/3/7,130.41,130.94,130.41,130.41,56800,427475
1991/3/8,129.84,130.41,129.84,129.89,93300,541770
1991/3/11,129.3,129.89,129.3,129.31,51400,299524
1991/3/12,128.73,129.31,128.73,128.77,95700,783099
1991/3/13,126.13,128.77,126.13,126.15,49800,418280
1991/3/14,125.61,126.15,125.61,125.63,32600,242557
1991/3/15,125.08,125.62,125.08,125.17,79000,403520
1991/3/18,124.7,125.17,124.69,124.71,125000,1210411
1991/3/19,124.23,124.71,124.22,124.22,89200,682933
1991/3/20,123.66,124.21,123.63,123.66,67800,433147
1991/3/21,123.14,123.66,123.12,123.12,15100,131064
1991/3/22,122.62,123.12,122.62,122.62,20700,120129
1991/3/25,122.12,122.62,122.1,122.12,44300,324176
1991/3/26,121.62,122.14,121.62,121.62,116400,709040
1991/3/27,121.12,121.64,121.12,121.12,66800,366005
1991/3/28,120.65,121.15,120.61,120.61,96100,505657
1991/3/29,120.16,120.61,120.11,120.19,218500,2186180
1991/4/1,120.69,120.73,119.68,120.73,1199900,5666672
1991/4/2,121.21,121.29,120.73,121.21,81600,387611
1991/4/3,121.71,121.71,121.21,121.71,206300,977171
1991/4/4,122.2,122.2,121.24,121.72,1051700,5045893
1991/4/5,121.07,121.73,121.03,121.54,1158900,6035557
1991/4/8,121.11,121.11,121.05,121.09,186200,1675834
1991/4/9,120.6,121.1,120.6,120.62,32000,297122
1991/4/10,120.15,120.62,120.09,120.16,46600,281235
1991/4/11,119.64,120.16,119.62,119.64,23900,576817
1991/4/12,119.2,119.65,119.15,119.21,39900,301333
1991/4/15,118.73,119.22,118.72,118.77,30100,386981
1991/4/16,118.36,118.77,118.34,118.34,10500,177216
1991/4/17,117.92,118.34,117.89,117.9,20100,259495
1991/4/18,117.45,117.93,117.45,117.45,17800,133927
1991/4/19,117.08,117.5,117.05,117.08,64600,424675
1991/4/22,116.63,117.08,116.58,116.63,43000,321322
1991/4/23,116.21,116.63,116.15,116.19,28200,264379
1991/4/24,115.7,116.19,115.7,115.79,14800,121786
1991/4/25,115.38,115.79,115.33,115.36,149500,998928
1991/4/26,116.31,116.31,114.52,115.56,1335400,5806770
1991/4/29,114.86,116.29,114.75,114.75,841100,3610730
1991/4/30,113.89,114.87,113.89,113.94,485000,2734172
1991/5/2,113.04,113.2,113.03,113.16,146500,1124048
1991/5/3,112.46,113.17,112.3,112.41,423000,2386862
1991/5/6,111.65,112.41,111.57,111.61,276400,1423590
1991/5/7,110.8,110.9,110.8,110.82,187500,907005
1991/5/8,110.16,110.82,110,110.03,42300,375190
1991/5/9,109.36,110.12,109.29,109.29,226600,1215566
1991/5/10,108.61,109.4,108.53,108.53,24900,313181
1991/5/13,107.88,107.88,107.74,107.84,23500,182296
1991/5/14,107.21,107.84,107.06,107.19,26700,185380
1991/5/15,106.56,106.6,106.42,106.57,39000,307736
1991/5/16,105.83,105.86,105.69,105.77,310800,1445855
1991/5/17,105.12,106.75,104.96,106.75,2019200,7633140
1991/5/20,107.76,107.82,106.71,107.82,86300,924212
1991/5/21,108.89,108.89,108.62,108.81,77100,1309557
1991/5/22,109.71,109.82,108.11,108.25,1867700,7967008
1991/5/23,107.52,109.16,107.35,109.08,560900,2770507
1991/5/24,110.07,110.08,109.82,110.08,102400,661006
1991/5/27,111.05,111.07,109.47,110.66,861900,3827789
1991/5/28,111.61,111.68,111.36,111.68,163000,970461
1991/5/29,112.75,112.75,111.67,112.75,53000,1320629
1991/5/30,113.74,113.82,112.77,113.82,38800,753456
1991/5/31,114.83,114.83,113.84,114.83,121100,1470487
1991/6/3,115.9,115.97,114.89,115.97,95400,1643078
1991/6/4,117.12,117.12,116.83,117.12,360300,2018633
1991/6/5,118.17,118.17,117.14,118.17,30800,279283
1991/6/6,119.26,119.35,118.17,119.35,26600,160508
1991/6/7,120.46,120.47,119.35,120.47,10000,83206
1991/6/10,121.65,121.67,120.47,121.67,40000,458929
1991/6/11,122.89,122.89,121.67,122.89,54300,375012
1991/6/12,123.9,124.11,122.89,124.11,137200,735371
1991/6/13,125.33,125.34,123.65,125.34,2086800,11563763
1991/6/14,124.47,126.34,124.47,124.53,663300,3541098
1991/6/17,125.63,125.77,123.54,125.77,693300,4056679
1991/6/18,127.03,127.03,126.67,127.03,203000,1015149
1991/6/19,128.12,128.29,127.03,128.29,148100,744123
1991/6/20,129.55,129.57,129.21,129.57,229900,1321261
1991/6/21,130.72,130.86,128.81,130.86,1361300,7746480
1991/6/24,132.1,132.17,131.8,132.17,196000,1657788
1991/6/25,133.48,133.49,132.17,133.49,162400,1296047
1991/6/26,134.83,134.83,133.49,134.83,340900,2149983
1991/6/27,136.04,136.19,134.83,136.19,449700,2521206
1991/6/28,137.41,137.56,136.19,137.56,493500,3032950
1991/7/1,136.64,138.62,136.56,136.85,2294000,12469884
1991/7/2,135.91,135.96,135.69,135.96,283800,3794100
1991/7/3,135.28,135.96,134.98,135.27,271500,1818504
1991/7/4,136.63,136.63,134.19,136.63,1339400,8095138
1991/7/5,136.01,137.68,135.9,135.96,1454000,9394861
1991/7/8,135.26,135.28,134.93,135.28,587400,2925933
1991/7/9,136.56,136.57,134.31,134.64,844200,4174836
1991/7/10,134.4,135.6,133.72,133.99,602300,2894591
1991/7/11,133.22,133.99,133.13,133.38,507300,2417896
1991/7/12,132.8,133.38,132.42,132.8,314400,1484090
1991/7/15,133.9,134.1,131.87,133.14,1193800,5534900
1991/7/16,134.39,134.47,133.14,134.47,279600,1328502
1991/7/17,135.81,135.81,135.39,135.81,66000,397524
1991/7/18,137.17,137.17,135.81,137.17,84700,464416
1991/7/19,137.66,138.54,136.66,136.7,1082300,5242826
1991/7/22,138.07,138.07,136.7,138.07,276400,1423205
1991/7/23,139.35,139.39,138.07,139.39,724100,3548584
1991/7/24,140.66,140.74,138.69,140.68,598800,2901485
1991/7/25,140.2,141.01,139.99,140.19,839000,4080885
1991/7/26,140.11,141.46,139.27,140.66,927900,4520783
1991/7/29,141.22,141.72,140.81,141.52,477100,2350293
1991/7/30,142.39,142.45,141.39,142.39,560100,2718049
1991/7/31,143.72,143.8,142.39,143.8,405100,1993205
1991/8/1,145.12,145.24,143.8,145.24,473100,2310502
1991/8/2,146.49,146.68,145.44,146.68,1174400,5825142
1991/8/5,148.06,148.15,146.68,148.15,512600,2593974
1991/8/6,149.62,149.62,148.15,149.62,200100,1065505
1991/8/7,150.93,151.12,149.62,151.12,110700,580236
1991/8/8,152.57,152.61,151.12,152.61,195100,1045377
1991/8/9,153.9,154.1,152.61,154.1,371500,1990447
1991/8/12,155.34,155.54,154.1,155.54,391900,2154199
1991/8/13,156.87,157.07,155.54,157.07,2003900,10529728
1991/8/14,158.3,158.63,158.11,158.63,548000,2929235
1991/8/15,159.92,160.21,158.63,160.21,153700,850781
1991/8/16,161.56,161.6,160.21,161.6,98400,581335
1991/8/19,163.21,163.21,161.6,163.21,98500,614977
1991/8/20,164.74,164.84,163.21,164.84,57300,388263
1991/8/21,166.49,166.49,164.84,166.49,341100,2106363
1991/8/22,167.81,168.16,166.49,168.16,129600,845656
1991/8/23,169.81,169.81,168.16,169.81,60500,502645
1991/8/26,171.51,171.51,169.81,171.51,64300,518093
1991/8/27,173.06,173.19,171.51,173.19,79600,520954
1991/8/28,174.82,174.92,173.19,174.92,80400,511434
1991/8/29,176.53,176.66,174.92,176.66,260800,1629096
1991/8/30,178.2,178.43,176.66,178.43,675900,4219163
1991/9/2,180.08,180.22,178.43,180.22,140800,886865
1991/9/3,181.71,181.97,180.22,181.97,147500,940258
1991/9/4,183.66,183.69,181.97,183.69,65000,470005
1991/9/5,185.48,185.51,183.69,185.51,151400,1095242
1991/9/6,187.09,187.36,185.51,187.36,276500,1761317
1991/9/9,189.1,189.24,187.36,189.24,355200,2349562
1991/9/10,190.98,190.98,188.19,188.33,3343400,21507837
1991/9/11,187.29,187.29,186.86,187.22,2139200,14677350
1991/9/12,186.22,187.4,186.07,186.22,1969900,16265671
1991/9/13,188,188.04,185.01,187.79,3743400,24035038
1991/9/16,189.55,189.66,187.79,189.66,993300,6343151
1991/9/17,191.16,191.18,188.28,188.65,2882900,18623898
1991/9/18,187.26,188.59,187.18,187.63,1582200,11015637
1991/9/19,187.65,189.21,186.49,186.88,2343900,14607546
1991/9/20,185.77,187.21,185.66,185.92,1207500,7417594
1991/9/23,185,185.92,184.71,185,403400,2806673
1991/9/24,183.96,185.04,183.69,184.08,142600,1002714
1991/9/25,182.8,184.08,182.8,183.19,138900,934108
1991/9/26,182.21,183.19,181.93,182.33,654100,4620152
1991/9/27,183.12,183.89,181.19,181.82,3372800,20416480
1991/9/30,180.28,181.95,180.27,180.92,2559400,22336016
1991/10/3,181.55,182.48,179.8,182.48,1874100,12329971
1991/10/4,184.29,184.29,183.59,184.29,736000,5039959
1991/10/7,185.95,186,185.41,186,1136900,7291196
1991/10/8,187.59,187.61,186,187.49,2374500,15241554
1991/10/9,188.49,189.12,186.31,189.12,2098900,13440129
1991/10/10,190.71,191.01,189.12,191.01,663800,4333536
1991/10/11,192.84,192.88,191.01,192.85,1098100,7251750
1991/10/14,194.06,194.69,192.32,194.67,2149300,13948029
1991/10/15,196.58,196.61,194.67,196.61,1100200,7265197
1991/10/16,198.51,198.57,196.61,198.57,956200,6273991
1991/10/17,200.5,200.51,198.57,200.51,607700,4136314
1991/10/18,202.5,202.51,200.51,202.51,296800,2384097
1991/10/21,204.53,204.53,202.51,204.53,353700,2514336
1991/10/22,206.06,206.53,204.53,206.53,212800,1521146
1991/10/23,208.06,208.25,206.53,208.25,262300,1980087
1991/10/24,210.2,210.2,208.25,210.07,1935700,13174235
1991/10/25,210.34,211.97,209.71,211.86,3265000,22263149
1991/10/28,213.5,213.98,211.86,213.98,321700,2357941
1991/10/29,215.63,215.78,213.98,215.78,269700,2069665
1991/10/30,216.37,216.43,215.78,216.43,238000,1814463
1991/10/31,218.59,218.6,216.43,218.6,392900,2914654
1991/11/1,220.71,220.72,218.6,220.72,590600,4313355
1991/11/4,222.77,222.77,220.79,222.77,447400,3352291
1991/11/5,224.44,224.65,222.77,224.65,280500,2225605
1991/11/6,226.83,226.88,224.65,226.88,284800,2188148
1991/11/7,228.93,228.93,226.88,228.93,483300,4085072
1991/11/8,230.99,231.22,228.93,231.22,1440600,11039106
1991/11/11,233.48,233.55,231.22,233.55,247400,2130826
1991/11/12,235.75,235.8,233.55,235.8,89500,914377
1991/11/13,236.51,236.67,235.8,236.67,79900,879975
1991/11/14,237.39,237.45,236.67,237.45,86200,940119
1991/11/15,238.25,238.25,237.45,238.25,205800,1914795
1991/11/18,240.04,240.62,238.25,240.62,188500,1534361
1991/11/19,242.24,242.24,240.62,242.24,231000,2040941
1991/11/20,244.5,244.5,242.24,244.5,232500,1929087
1991/11/21,246.26,246.31,244.5,246.31,215500,2030500
1991/11/22,248.24,248.53,246.31,248.53,213300,1954544
1991/11/25,250.84,250.85,248.53,250.85,233100,1963992
1991/11/26,252.9,252.97,250.85,252.97,245400,2326565
1991/11/27,255.27,255.45,252.97,255.45,212000,1756893
1991/11/28,257.28,257.35,255.45,257.35,250200,2251847
1991/11/29,259.68,259.85,257.35,259.6,3369500,28453937
1991/12/2,261.78,262.19,259.67,262.19,1912800,16310190
1991/12/3,264.64,264.81,262.19,264.81,110100,1207594
1991/12/4,265.53,265.77,264.81,265.77,74200,903324
1991/12/5,266.48,266.66,265.77,266.66,205000,2100256
1991/12/6,269.34,269.35,266.66,269.35,161300,1798852
1991/12/9,270.27,270.27,269.35,270.27,163100,1648764
1991/12/10,270.27,272.91,270.27,272.91,51600,665483
1991/12/11,273.53,273.71,272.91,273.71,66900,859049
1991/12/12,274.41,274.41,273.71,274.41,157700,1644190
1991/12/13,276.81,277,274.41,277,74600,962311
1991/12/16,277.53,277.85,277,277.85,58000,817004
1991/12/17,278.67,278.68,277.85,278.68,49300,754992
1991/12/18,279.32,279.51,278.68,279.51,76000,893281
1991/12/19,279.98,280.17,279.51,280.17,109400,1242701
1991/12/20,282.83,282.83,280.63,282.83,439300,6268733
1991/12/23,285.65,285.65,282.83,285.65,104600,1182123
1991/12/24,285.74,286.22,285.65,286.22,48600,593373
1991/12/25,287.09,287.15,286.22,287.15,57300,873628
1991/12/26,288.03,288.03,287.15,288.03,116800,1422421
1991/12/27,290.65,290.85,288.03,290.85,155100,1789522
1991/12/30,291.71,291.71,290.85,291.71,116500,1881075
1991/12/31,292.48,292.75,291.71,292.75,58400,858863
1992/1/2,293.74,293.75,292.76,293.75,92800,1339598
1992/1/3,296.24,296.52,293.75,296.52,143600,1842222
1992/1/6,297.68,297.68,296.52,297.68,340000,4236024
1992/1/7,298.54,298.77,297.68,298.77,89200,1064008
1992/1/8,299.65,299.66,298.77,299.66,65900,930535
1992/1/9,300.61,300.62,299.66,300.62,94300,1244834
1992/1/10,301.82,301.83,300.62,301.83,160500,2629590
1992/1/13,302.83,303.06,302,303.06,72500,1097531
1992/1/14,304.77,305.74,303.06,305.74,63200,858530
1992/1/15,306.62,306.63,305.74,306.63,25900,314974
1992/1/16,306.85,306.85,306.63,306.85,37800,488305
1992/1/17,307.37,307.38,306.85,307.38,25000,321916
1992/1/20,307.38,307.39,307.38,307.39,44500,502999
1992/1/21,307.87,307.87,307.39,307.87,53400,650501
1992/1/22,307.95,307.95,307.87,307.95,31200,439920
1992/1/23,308.53,308.53,307.95,308.53,41300,583190
1992/1/24,309.05,309.05,308.53,309.05,72200,1004033
1992/1/27,311.6,311.61,309.05,311.61,56200,750773
1992/1/28,311.67,311.84,311.61,311.84,66400,822810
1992/1/29,312.41,312.58,311.84,312.42,40100,450211
1992/1/30,312.73,312.73,312.42,312.73,39100,543800
